id;full_name;road_segment_wkt
606092270;Northern Mtwy;LINESTRING(174.75143 -36.81494,174.75148 -36.81486)
606112314;Northern Mtwy;LINESTRING(174.74829 -36.82639,174.74854 -36.82601,174.74873 -36.82573)
606112315;Northern Mtwy;LINESTRING(174.74861 -36.82641,174.74879 -36.82613,174.74898 -36.82584)
606114553;Northern Mtwy;LINESTRING(174.74873 -36.82573,174.74898 -36.82535,174.74922 -36.82498,174.74957 -36.82445,174.74975 -36.82415,174.74987 -36.82395,174.74994 -36.8238,174.75001 -36.82364,174.75007 -36.82348,174.75011 -36.82335,174.75015 -36.82318,174.75018 -36.82298,174.75019 -36.8228,174.75018 -36.82256,174.75017 -36.8224,174.75015 -36.82224,174.75011 -36.82205,174.75004 -36.82175)
606115339;Northern Mtwy;LINESTRING(174.74898 -36.82584,174.74917 -36.82555,174.74934 -36.82529,174.74958 -36.82492,174.74984 -36.82454,174.75001 -36.82427,174.75015 -36.82403,174.75026 -36.82381)
606125832;Northern Mtwy;LINESTRING(174.74771 -36.82728,174.74796 -36.82688,174.74829 -36.82639)
606125836;Northern Mtwy;LINESTRING(174.74816 -36.82709,174.74823 -36.82698,174.74861 -36.82641)
606125837;Northern Mtwy;LINESTRING(174.74798 -36.82716,174.74812 -36.82695,174.74844 -36.82647)
605958644;;LINESTRING(174.72669 -36.751,174.72652 -36.75072)
605986970;;LINESTRING(174.72642 -36.75062,174.72611 -36.75029)
606011793;Northern Mtwy;LINESTRING(174.72602 -36.75069,174.72556 -36.75017,174.72533 -36.7499,174.72513 -36.74965,174.72458 -36.74898,174.72417 -36.74846,174.72401 -36.74824,174.72384 -36.74802,174.7237 -36.74783,174.7235 -36.74755)
606014057;;LINESTRING(174.72557 -36.75086,174.72544 -36.75068)
606046310;;LINESTRING(174.7266 -36.75056,174.72645 -36.7505,174.72635 -36.75044,174.72622 -36.75036,174.72611 -36.75029)
606087665;;LINESTRING(174.72498 -36.75102,174.72521 -36.75091)
606095171;;LINESTRING(174.72521 -36.75091,174.72529 -36.75087,174.72536 -36.75081,174.72542 -36.75075,174.72544 -36.75068)
